Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1986,River's Edge,American,Tim Hunter,"Crispin Glover, Keanu Reeves, Ione Skye Leitch, Daniel Roebuck, Dennis Hopper",drama,https://en.wikipedia.org/wiki/River%27s_Edge,"In Northern California, an adolescent boy, Tim (Joshua John Miller), throws a doll into a river. On the opposite bank, he sees teenager John ""Samson"" Tollet (Daniel Roebuck) smoking a cigarette; next to him is the nude corpse of his girlfriend, Jamie (Danyi Deats). Later at a convenience store, Tim encounters John arguing with the clerk over buying beer. Tim returns home where his brother Matt (Keanu Reeves) and mother are searching for his little sister's doll. Layne (Crispin Glover) arrives and picks up Matt, and the two drive to the home of Feck (Dennis Hopper), a neurotic ex-biker and drug dealer, to buy marijuana. On the car ride there, Layne recounts a party from the night before where John and Jamie were arguing. At school, Layne and Matt smoke with their friends Clarissa (Ione Skye), Maggie (Roxana Zal), and Tony (Josh Richman). Matt talks about wanting to run away to Portland, which Clarissa dismisses. Samson arrives, and mentions that he killed Jamie. Clarissa and Maggie think he's joking, and leave for class. He brings Layne and Matt to view her body; Matt is disturbed, while Layne is singularly concentrated on covering up the crime.
The group all plan to go see Jamie's body that evening, which Clarissa assumes is a practical joke. An older acquaintance, Mike, agrees to drive them in his truck, and they each see Jamie's body for themselves. Later that night, Clarissa calls Matt, but he is reluctant to talk to her. Meanwhile, Layne goes back to the scene and pushes Jamie's body into the river. Later, while driving with Samson, he notices police cars near Samson's house. Layne panics, but Samson remains calm. They drive to Feck's house, and Layne leaves Samson there to hide. Meanwhile, Matt directs police to the river, where they find Jamie's body washed up on the shore. Matt is subsequently interrogated by police, who threaten to charge him with being an accessory after the fact. Matt returns home and argues with his mother and her boyfriend, and then gets into a fight with Tim, hitting him in the face. After, Tim and his friend Moko steal Moko's father's car to drive to Feck's.
In the middle of the night, Layne, Clarissa and Matt drive to Tony's house, but Tony's father chases them off with a shotgun. Layne argues with Clarissa and kicks her out of his car. Matt gets out and walks with her. They stop at a convenience store and run into John and Feck. Tim and Moko break into Feck's house in search of a gun, but find his stash of marijuana instead; they each get stoned and pass out in his house. Matt and Clarissa go to a park to talk, where they confide their mutual apathy over Jamie's murder. Meanwhile, Samson and Feck have gone to the river's edge to drink beer. Feck discusses a murder he committed years prior of his own girlfriend, and Samson drunkenly begins to brag about killing Jamie, recounting his strangling her to death with relish. Matt and Clarissa have sex in the park nearby before falling asleep, while Layne drives around town in a panic, compulsively taking pills.
At dawn, Samson falls asleep on the river bank, and Feck shoots him in the head. He returns to his home, where Tim and Moko accost him and steal his gun. Police find Layne unconscious in his car, and bring him in for questioning. At school, news reporters interview Maggie and Tony, who seem dispassionate. During history class, the teacher, Mr. Burkewaite, discusses morality, and asks Clarissa what Jamie meant to her in front of the class; she doesn't respond. Layne calls Feck's house asking where Samson is, and Feck tells him he's gone to the river; in the middle of the phone call, police break down Feck's door. The group of teenagers go to the river together, and Layne finds Samson's body nearby. Tim arrives at the scene with Feck's gun and threatens to kill Matt for hitting him the night before, but Matt talks him out of it.
Police arrive and escort the teenagers away as medical examiners remove Samson's body. In the hospital, Feck admits to killing Samson ""because there was no hope for him,"" and confesses to his girlfriend's murder from years prior. Later, at Jamie's funeral, each of the teenagers show emotion during the wake."
1930,The Vagabond King,American,Ludwig Berger,"Jeanette MacDonald, O.P. Heggie, Lillian Roth",musical,https://en.wikipedia.org/wiki/The_Vagabond_King_(1930_film),"The story takes place in medieval France. King Louis XI (O. P. Heggie), hoping to enlist the French peasants in his upcoming battle against the Burgundians, appoints François Villon (Dennis King) king of France for one day. Despite being successful against the Burgundians, François Villon is sentenced to hang by King Louis XI for writing derogatory verses about him...
Jeanette MacDonald is Katherine, the high-born girl whom Villon pines for, while Huguette, a tavern wench (Lillian Roth) gives up her life to save her beloved poet."
2011,Mallikarjuna,Kannada,Murali Mohan,"V. Ravichandran, Seetha, Sadha, Ashish Vidyarthi, Ramya Barna, Ramesh Bhat",drama,https://en.wikipedia.org/wiki/Mallikarjuna_(film),"Ravichandran plays a dual role of Father - son. While Seetha pairs up for the father role, Sadha pairs for the son role."
1943,Immortal Sergeant,American,John M. Stahl,"Henry Fonda, Maureen O'Hara",war,https://en.wikipedia.org/wiki/Immortal_Sergeant,"In North Africa, experienced Sergeant Kelly (Thomas Mitchell) leads out a British patrol, accompanied by Corporal Colin Spence (Henry Fonda), an unassertive Canadian. When they are attacked by Italian airplanes, they manage to shoot one down, but it crashes on one of their vehicles, killing eight men. Later, Kelly leads the six survivors on an attack of an Italian armored car, but is seriously wounded. He orders Spence to leave him behind; when Spence refuses to obey, he shoots himself.
Spence leads the remaining three men towards an oasis. Before they can reach it though, a transport plane lands and disgorges German soldiers who set up a base. After sneaking in to steal badly needed food and water, Spence has to assert his leadership when one of his men advocates surrendering. Instead, Spence leads them in a surprise attack under the cover of a sandstorm. The British emerge victorious, though one man is killed and Spence is wounded.
The corporal comes to in a Cairo hospital and finds he is to be given a medal and promoted to lieutenant. His newfound assertiveness extends to his personal life. He proposes to his girlfriend Valentine (Maureen O'Hara), whom he had thought of (in flashbacks) throughout his ordeal."
1957,The Pied Piper of Hamelin,American,Bretaigne Windust,"Van Johnson, Claude Rains, Lori Nelson",musical,https://en.wikipedia.org/wiki/The_Pied_Piper_of_Hamelin_(1957_film),"The Pied Piper (Van Johnson) is first spotted working magic in Hamelin by a disabled boy, Paul, and playing his signature tune In the Hall of the Mountain King. Paul tells his best friend, the schoolteacher Truson (=true son), also played by Johnson, but Truson is skeptical.
The town of Hamelin has entered a competition in order to win a banner from the King. To this end, the Mayor (Claude Rains) exhorts the people to work incessantly, even the children, to the extent that they are denied school and play. Truson protests, but his protests go unheeded by the arrogant Mayor. As part of a competition between several villages, the Mayor and his cabinet plan to construct golden chimes to impress the King's Emissary, who is due to pay a visit to Hamelin. But their efforts are temporarily halted when the town is invaded by rats, which have fled the neighboring city of Hamelout after the Weser River flooded and destroyed the town.
It is then that the Piper magically appears before the Mayor and his councilors. (He can appear inside the council room although the door is bolted.) Asking to be paid all the money in the town's treasury, (fifty-thousand guilders) he offers to rid the town of the rats. An unusual element is introduced into the story here: whenever the Piper plays a happy tune for the children, only Truson and the children can hear it. When he plays ""In the Hall of the Mountain King"" and leads the rats to their doom in the river, the children quickly fall asleep and only the material-minded adults such as the Mayor, but not Truson, can hear the music.
The Piper rids the town of the rats, but rather than simply paying him, the Mayor and his Cabinet attempt to use legal pettifoggery to trick him into an agreement whereby he must deposit a certain amount of money as a guarantee that the rats will not return, and if they do he must return the rest of the money that he has been paid. Furious, the Piper leaves without his money, and the Mayor plots to use the gold to construct the chimes. Truson, who is in love with the Mayor's daughter Mara (Lori Nelson) is thrown in jail for speaking out against this injustice. The Mayor plans to marry off Mara to the King's Emissary (Jim Backus), but at this point, the Piper takes his revenge. Playing a happy variation on ""In the Hall of the Mountain King"", he leads the children of Hamelin away and into a beautiful kingdom concealed by a cave which magically opens to let the children in. But Paul is accidentally left behind, after he falls while trying to catch up with the other children and the cave closes before he can pass through.
The rest of the plot concerns the resolution of the Truson-Mara love story, the attempts of the adults to bring back the children, and the townsfolk and the Mayor. A happy ending showing the Piper's forgiveness and his returning of the children was added to the story in order to keep the program a family special."
1981,Kalyug,Bollywood,Shyam Benegal,"Shashi Kapoor, Rekha, Raj Babbar",drama,https://en.wikipedia.org/wiki/Kalyug_(1981_film),"This is a tale of intrigue, plots and the inevitable war between two families.
Ramchand and Bhishamchand were two pioneering brothers in business. Bhishamchand, a lifelong bachelor, brought up the two sons of Ramchand upon his demise. He also gave the family business a firm foundation. Khubchand (Vinod Doshi), the elder son of Ramchand begets two sons, Dhanraj (Victor Banerjee) and Sandeepraj (Akash Khurana). Puranchand, Khubchand's younger brother, had died a few years ago. His three sons are Dharamraj (Raj Babbar), Balraj (Kulbhushan Kharbanda) and Bharatraj (Anant Nag). Another player in the game is Karan (Shashi Kapoor), an orphan brought up by Bhishamchand.
A series of events brings the long-hidden feud between the two families to light. Despite Bhishamchand's efforts to mediate between the two, the situation gets out of hand and events take a tragic turn. Dhanraj's men accidentally kill the young son of Balraj and to take revenge, Bharatraj murders Karan. Quite a few skeletons from the family cupboard are brought into the open that only add to the tensions and hatred, finally culminating in the destruction of the two families, showing the brittleness of our moral fabric."
1982,One from the Heart,American,Francis Ford Coppola,"Teri Garr, Frederic Forrest, Nastassja Kinski, Raúl Juliá","drama, musical",https://en.wikipedia.org/wiki/One_from_the_Heart,"The evening of July 4, in Las Vegas, Hank, a mechanic, and Frannie, a travel agent, break up while celebrating their fifth anniversary. He has been insensitive to her yearning for adventure and excitement. They both spend a night with their idealized partners — Hank goes with Leila, a nubile and beautiful circus girl, and Frannie goes with Ray, a dark, handsome musician.
After their nights of passion, Hank breaks down, tracks Frannie to her lover's apartment and abducts her. She refuses to stay with him and walks away, saying that this time it is goodbye forever.
Hank follows her to the airport, where Frannie is about to leave for her dream trip to Bora Bora. Hank sings to her to prove he is willing to be more romantic, but she boards the plane, saying it is too late. Hank, distraught, goes home and is about to burn her clothes when Frannie returns, realizing she ""made a mistake."""
1977,The World's Greatest Lover,American,Gene Wilder,"Gene Wilder, Carol Kane, Dom DeLuise",comedy,https://en.wikipedia.org/wiki/The_World%27s_Greatest_Lover,"In the silent film era, Rainbow Studios executives figure they are losing revenue to a rival studio because they don't have Rudolph Valentino. Led by studio head Adolph Zitz, they decide to hold a contest for the World's Greatest Lover in order to find a star to combat Valentino's popularity.
Rudy Hickman is a neurotic baker from Milwaukee, but aspires to become a Hollywood star. His entry into the contest tests his marriage, and his neuroses manifest in his screen test, where he nearly kills his fellow actress. Surprisingly, this behavior scores favorably with Zitz and the studio executives reviewing his performance. Now calling himself ""Rudy Valentine,"" he gets a slot in the final phase of the contest, just after finding his wife Annie has left him."
2015,Open Tee Bioscope,Bengali,"Anindya Chatterjee, Shoojit Sircar","Riddhi Sen, Surangana Banerjee, Rwitobroto Mukherjee, Dhee Majumder, Rajarshi Nag, Rajatava Dutta, Sudipta Chakraborty, Kaushik Sen, Paran Bandopadhyay, Sohini Sarkar, Ambarish Bhattacharya, Aparajita Auddy, Biswanath Basu, Ritwick Chakraborty",coming of age,https://en.wikipedia.org/wiki/Open_Tee_Bioscope,"The film steers through comedy, drama, and emotions of the middle class community of 1990's Kolkata, and carefully captures the essence of North Kolkata, and the quintessential spirit of North Kolkata’s para football."
1988,Watchers,American,Unknown,Corey Haim,drama,https://en.wikipedia.org/wiki/Watchers_(1988_film),"An explosion occurs in a classified research laboratory, causing an intense fire. A mutated monster known as the OXCOM (Outside Experimental Combat Mammal) escapes and chases a golden retriever from the same lab, through the surrounding woods. The dog outruns it and hides in a barn. In the barn, Travis Cornell (Corey Haim) is with his girlfriend Tracey (Lala Sloatman). Thinking it is her father, Travis leaves. Tracey discovers the beast and screams, summoning her father who is attacked. Meanwhile, Travis finds the dog in the back of his car and a military/police force is sweeping the area for the escapees. Travis starts to realize the dog is extraordinary and decides to keep it. Meanwhile, an NSO agent named Johnson (Michael Ironside) is dispatched by the corporation to retrieve the animals.
The next morning, Travis's mother informs him that there has been an accident and that Tracey is in the hospital. Travis and his mother rush to the hospital, but Agent Johnson and his partner will not allow them to see her. Travis pushes past them into Tracey's room, only to find it completely empty. The men claim that she has been transferred to a better location. Travis is puzzled as to why the men were armed. At home, Travis' mother is displeased about the dog. She allows him to keep it when Travis shows the level of intelligence that the dog possesses. While bathing the dog, Travis sees GH3 tattooed on its ear, and concludes it is a research dog, which would explain its superior intellect.
Agent Johnson stops by Travis' house to ask questions and the dog hides. The dog tracks Travis down at school, where he types 'D ANG ER N S O' on a computer. Travis is given detention for bringing a pet to school. Meanwhile, 3 of Travis' friends are murdered by the OXCOM in the woods. The OXCOM then traces the dog to the school, where two staff members are killed. One is able to call police. The now-suspicious sheriff and a policewoman arrive, and she is also killed. When the sheriff confronts Agent Johnson, he is forced to tell the sheriff the truth regarding the killer, but asks that they move to a quieter location away from the press. He explains that it was a scientific project gone wrong and that the OXCOM is chasing the dog, which targets and kills anything it comes across or that has been in contact with the dog. He then abruptly murders the sheriff.
A family friend who is fixing the washing machine mentions that a man stopped by earlier asking if they owned a dog. Travis, realizing the NSO is after them, sneaks out of the house. His mother stops him before he can drive away, telling him that they are in it together. Back inside, they find their friend dead. They run upstairs with the dog, locking the bedroom door. The beast begins to break it down. The mother climbs onto the adjacent rooftop while Travis grabs a hunting gun. He tells her to start the truck and jumps out the window followed by the dog who is knocked down by the OXCOM. He fires, then picks up the injured dog, and the three drive to a veterinarian. Noticing the code on the dog’s ear, the vet calls the authorities. Travis catches on and they leave the vet's office before the NSO agents can arrive. The next morning after the agents track them to the motel they are staying, the mother creates a diversion, allowing Travis and the dog to escape the NSO agents. Travis takes the dog to his father's old cabin in the woods. His mother insists the NSO agents let her visit Tracey. Although Johnson claims the NSO is protecting her while she recovers, Travis' mother realizes that the sedated Tracey is unharmed and her room has no medical equipment, and that the NSO are holding her as a prisoner.
The agents take the women to the cabin to use as hostages, but Travis throws a homemade Molotov cocktail at the NSO agents, allowing the two women to run into the cabin. Agent Johnson fires at them, but he is stopped by his partner who balks at murdering a woman and two kids. Johnson then reveals that he is the corporation's third experiment, a genetically engineered assassin with no conscience, and kills his partner. In a tussle with Johnson, Travis is stabbed in the leg with his own knife. The dog jumps through the window and onto Johnson, allowing Travis to stab him through the neck. Johnson, unfazed by the stab wound, claims that they will die anyway before being shot to death by Mrs. Cornell. Armed with homemade weapons, the team readies themselves for the beast. When it arrives, Travis shoots at it and it throws the dog into the truck windshield. Travis follows it into the woods, where he finds it injured and sobbing. At first, he cannot bring himself to kill it. It then attacks him and he is forced to finish it off. Travis, his mother, Tracey and the dog regroup and leave in the beaten truck as the farmhouse burns down."
2009,Başka Dilde Aşk,Turkish,İlksen Başarır,"Saadet Işıl Aksoy, Mert Fırat & Lale Mansur",drama,https://en.wikipedia.org/wiki/Ba%C5%9Fka_Dilde_A%C5%9Fk,"Onur, who has been deaf since birth, works as a librarian. His father had left him and his mother when he was seven, and Onur has always blamed himself for this. Although being able to speak, he has chosen to stay silent because of the pitying looks of the people around him. At his friend Vedat’s engagement party, he meets Zeynep, who later finds out about Onur’s hearing disability, but is not bothered by it. She is forced by her overbearing father to leave home and gets a job at a call-center. Having to speak on the phone all day to people she doesn’t know, Zeynep finds peace with Onur, who she communicates with perfectly without speaking..."
2004,Fantasia,Hong Kong,Wai Ka-Fai,"Cecilia Cheung, Louis Koo",unknown,https://en.wikipedia.org/wiki/Fantasia_(2004_film),"In 1969 of Hong Kong, private detective agency director Man (Sean Lau) and his two employees, Sam (Louis Koo) and Fugu (Jordan Chan), are investigating an adultery case, where they track their target and crashing into an antique shop, where they end up causing a lot of damage there. Man, who is greedy and miserly, forces Sam and Fugu to be held responsible for the damages, while Sam pushes all responsibility solely on Fugu. In the pile of debris, Fugu finds a lamp which was unable to turn on. At the same time, Fugu also receives a call from his aunt informing him that her cousin, Jane Lam (Christy Chung), who is a student of Stanford University studying Aerospace Technology, have gone mad due to over-studying, and is now missing. Fugu is worried to ask Man for a leave of absence. Man and Sam both took a look at the lamp, which was still unable to turn on, where Man throws the lamp out the window. At this point a sorceress named Harmy Bobo (portrayed by Cecilia Cheung, the character's name is a parody of Harry Potter) magically emerges from the lamp. Bobo arrives at Man's agency and asks the trio to each make a wish, so she can return to her world. Man and Sam both thinks Bobo is Fugu's cousin. However, as Bobo fails in her spells, the trio do not believe her to be sorceress, but she continues to help them in secret. One time in a mahjong game, Bobo's failed spells causes Man to be exposed from his cheating, and thus, he forges a rivalry with gang boss Kin (Francis Ng). Bobo's cousins, the Chopstick Sisters (Charlene Choi, Gillian Chung), also happen to be at the hands of Kin, who took them as his goddaughters."
2010,Diary of a Wimpy Kid,American,Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachel Harris, Steve Zahn, Devon Bostick, Chloë Grace Moretz","comedy, family",https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid_(film),"The film starts with Rodrick waking up his brother Greg, saying it is time for school. However, Rodrick tricks Greg, as it is night. After the title sequence, Greg attends his first day at middle school and discovers the ups and downs, such as the missing stall doors in the boys' bathroom and the difficulties of obtaining a seat during lunch break. During P.E. lessons, he and his best friend Rowley escape from a game of Gladiator and learn about the Cheese Touch - a rotten piece of cheese on the basketball court that makes anyone who touches it an outcast. Greg also meets Angie, a girl who isolates herself from the other girls to survive. Greg states his intention of becoming the most popular student in school.
At the end of the day, Rowley unintentionally embarrasses both boys by asking Greg if he wants to come over and ""play"". Greg looks through Rodrick's yearbook at home and Rodrick catches them, threatening to kill Greg. The next day, Greg signs up for wrestling to become popular but suffers humiliating losses against both Fregley, a weird outcast, and Patty Farrell, Greg's arch-enemy from elementary school. On Halloween, the two boys encounter teenagers while trick or treating, and they are drenched with water. When Greg threatens to call the cops, the teenagers chase them to his Grandma's house. Some time later on, Greg makes it an effort to make Rowley popular by changing his style of clothing and looks, and how he wears a backpack.
The boys join Safety Patrol in an effort to become popular, and they try out for a contest that offers a student a chance to become the new cartoonist for the school paper. After Greg breaks Rowley's arm during a game the boys played, Rowley becomes extremely popular, and wins the contest. Greg becomes jealous of him. At Safety Patrol, Greg panicks when he encounters a truck identical to the teenagers' from Halloween, and hides the kids in a construction zone. He is spotted by a neighbour who mistakes him for Rowley. To his own bewilderment, Rowley is banned from the Patrol, but Greg eventually confesses to Rowley. Upset and feeling betrayed, Rowley tells Greg that isn't a good friend, and that all he cares about is himself. Rowley then ends their friendship, and makes friends with Collin who replaces Greg as Rowley's new best friend.
Greg decides to pursue popularity without Rowley by joining the school play. At tryouts, Greg's soprano voice earns him the role of Dorothy; however, Patty threatens the teacher into casting her instead. Greg signs up as a tree, hoping to throw apples on Patty during the play, but during rehearsal, the trees are told they won't throw apples but sing a song instead. At the performance, Greg refuses to sing as Rodrick is videotaping the performance, and begins throwing apples, ending the play in chaos.
Later, Rodrick found an invitation to the mother-son sweetheart dance, which Greg was trying his hardest to hide. As a result, Greg got revenge by letting Manny read Rodrick's pornographic magazines. Rodrick is grounded for leaving his magazines out in the open where their baby brother Manny is able to find them, but Greg fails to reconcile with Rowley.
One day at school, Rowley and Greg confront each other. Patty and the other kids force Greg and Rowley to fight; however, neither of them are good at fighting. The Halloween teenagers arrive at the scene and force the school to flee, but catch Rowley and Greg. They force Rowley to eat the cheese before the P.E. teacher forces them to flee. When the other kids notice that the Cheese has been moved from its original location and has been bitten, Greg covers up for Rowley by saying he ate it. This mends their friendship but makes Greg an outcast, as he is thought to have the Cheese Touch.
When the yearbooks are published, he and Rowley make the Class Favorites page as ""Cutest Best Friends."" Surprisingly though, people were brave enough to be close to Greg."
1993,The Joy Luck Club,American,Wayne Wang,"Ming-Na, Rosalind Chao, Lauren Tom, Tamlyn Tomita",drama,https://en.wikipedia.org/wiki/The_Joy_Luck_Club_(film),"The Joy Luck Club was formed by four women in San Francisco: Lindo Jong (Tsai Chin), Ying-Ying St. Clair (France Nuyen), An-Mei Hsu (Lisa Lu), and Suyuan Woo (Kieu Chinh). The members have mainly played mahjong and told each other's stories over the years. They emigrated from their native country, China, remarried, and gave birth to children in America. Suyuan's daughter June (Ming-Na Wen) replaced her when Suyuan died four months before the time the film is set. The mothers have high hopes for their daughters' success, but the daughters struggle through ""anxieties, feelings of inadequacy, and failures."" Throughout the film, the mothers and daughters bond by learning to understand each other and by overcoming their conflicts.[2]
The film begins with June's prologue tale. In the prologue, a woman (presumably Suyuan) bought a swan in China from a market vendor who was selling it as ""a duck that stretched its neck [to become] a goose."" She kept it as her pet and brought it to the United States. When the immigration officials took it away from her, she plucked out only a swan feather instead while she struggled to grab the swan away. For a long time, the woman had kept the feather, planning to someday give the feather to her daughter.
Then the film transits to June's farewell surprise party in San Francisco for her upcoming reunion with her long-lost twin sisters in China. Among the guests are members of The Joy Luck Club, their daughters, other relatives, and friends. The following characters below narrate their journeys to the audience while they reflect upon their pasts.
In China, four-year-old Lindo (Ying Wu) is arranged, by her mother (Xi Meijuan) and the matchmaker (Hsu Ying Li), to be married to Mrs. Huang's son when she grows up. When Lindo turns fifteen (Irene Ng), her mother sends her to Mrs. Huang, so Lindo marries Huang's son, Tyan Hu (William Gong), a pre-pubescent boy who has no interest in her. During four years of childless and loveless marriage, she is frequently abused by her frustrated mother-in-law, who believes Lindo's childlessness is her own fault. Lindo eavesdrops on the servant girl telling her lover that she is pregnant and he willfully abandons her. Lindo realizes her chance to leave the marriage without dishonoring herself, her family and her in-laws. Later, Lindo purportedly ruins her clothes and then claims that she had a nightmare in which Tyan Hu's ancestors threatened to punish her, Tyan Hu and the matchmaker. Then Lindo claims that the ancestors impregnated the servant girl with Tyan Hu's child and her own marriage to him is considered offensive to them. Mrs. Huang does not believe Lindo until Mrs. Huang quickly discovers the servant's pregnancy through inspection. Finally, Lindo claims that the matchmaker intentionally and wrongly paired Lindo and Tyan Hu for more money. Furious, Mrs. Huang orders the matchmaker out of her family's life, allowing the servant girl to have her marriage. Lindo is able to escape the house and moves to Shanghai.
Years later in America, Lindo has a new husband, a son, and a daughter named Waverly (Tamlyn Tomita). Aged between six and nine, Waverly (Mai Vu) has become a chess champion. Annoyed by Lindo using Waverly to ""show off"" at the streets, Waverly shouts at her mother and decides to quit chess. When she tries to play it again, Waverly loses one chess round, prompting her to retire from chess. Years later, she has a daughter Shoshana from her Chinese ex-husband and is going to marry a Caucasian fiancé, Rich (Christopher Rich), much to Lindo's chagrin. In order to make Lindo like Rich, Waverly brings him to a family dinner, but he fails to impress them especially by improperly using chopsticks and insulting Lindo's cooking by marinating the dish with a sauce, humiliating Waverly. While driving home, Waverly lets Rich know how humiliated she and her family are with him, prompting him to properly learn the Chinese table manners. A while later, at the hair salon, Lindo retells her moments with her own mother and declares that she likes Rich very much. She then gives marital blessings to Waverly and Rich, prompting her and Waverly to reconcile with each other. At June's farewell party, Rich almost successfully uses a chopstick (but accidentally drops a piece), impressing Lindo by trying to respect the Chinese table manners.
In China, Ying-Ying St. Clair was happily married to Lin-Xiao (Russell Wong) with a baby boy in China until Lin-Xiao abuses her and abandons her for an opera singer. Overcome by her depression, Ying-Ying drowns her baby son in the bathtub, which leaves her distraught afterwards because she feels that if she had killed Lin-Xiao earlier, she would not have lost ""the thing that mattered the most."" Years after she immigrated to America, she has suffered from trauma and has been haunted by her past, worrying her new family, including her daughter Lena (Lauren Tom).
After Ying-Ying finally resolved her years of trauma, Lena shows Ying-Ying around her new apartment with her husband Harold (Michael Paul Chan), who is also Lena's boss. Ying-Ying learns that Lena is uncomfortable with her financial arrangements with Harold. They split the costs of their life evenly with a list of things that they share, making their home life contentious. Seeing that Lena is unhappy with her marriage, Ying-Ying reasserts herself by knocking over a table in the bedroom and causing the vase to fall from the table and break. Hearing the sudden noise, Lena goes to her mother and admits her unhappiness. Ying-Ying replies that Lena should leave and not come back until Harold gives her what she wants. At June's farewell party, Lena is shown to have a new vibrant fiancé, who has given Lena what she wants and is accepting of Ying-Ying.
Nine-year-old An-Mei Hsu (Yi Ding) has been raised with her relatives and grandmother. She is reunited with her long-lost mother (Vivian Wu), who was disowned by her family for her ""dalliance"" with a wealthy middle-aged man Wu-Tsing shortly after her husband's death, and who arrives to see her dying mother (Lucille Soong). In order to not lose her again, An-Mei moves out with her mother to Wu-Tsing's house against her relatives' wishes for her to remain with them. They claim that in allowing An-Mei live with her and Wu-Tsing, the mother will ruin her future. She finds that Wu-Tsing has another three wives, making An-Mei's mother the Fourth Wife. Later, she learns that the Second Wife (Elizabeth Sung) tricked An-Mei's mother into being raped and impregnated by Wu-Tsing. When the relatives did not believe An-Mei's mother and kicked her out, she reluctantly became Wu-Tsing's Fourth Wife as she had nowhere else to turn. After An-Mei's mother gave birth to a boy, the Second Wife took him away from her and claimed him as her own. After An-Mei discovers the past, her mother ultimately commits suicide by eating ""sticky rice balls"" laced with opium, choosing the day of her death carefully to threaten Wu-Tsing with the vengeance of her angry ghost. Afraid of this curse, Wu-Tsing vows to raise An-Mei and her half-brother with great care and promises to honor their mother as an honorable first wife. When Second Wife tries to pay respects to An-Mei's late mother, An-Mei screams at the Second Wife, destroys the Second Wife's faux pearl necklace (the Second Wife initially tried to win An-Mei over with a similar necklace), and loudly yells out ""Mama!""
Years later in America, An-Mei's daughter Rose (Rosalind Chao) has been dating her boyfriend, Ted Jordan (Andrew McCarthy) since college. Ted is initially attracted to Rose's assertive, forthright nature. When he confronts his aristocratic mother (Diane Baker) for insulting Rose due to her race, Rose is impressed and agrees to marry him. Over the course of their marriage, however, Rose and Ted become distant from each other, mainly because Rose, desperate to prove herself to Ted's milieu, becomes submissive and demure at the cost of her own identity and interests. They have a daughter, Jennifer, but this does not resolve their marital problems. To make matters worse, Ted cheats on her with another woman and neither are actually happy in their marriage. A while later, An-Mei comes for a visit and relays the story of her own mother's fate to Rose. She encourages Rose to stand up for herself and Jennifer against Ted, or nothing will change. To avoid the same fate, Rose reclaims her strength and stands up to Ted by telling him to leave the house and not take their daughter away from her. This compels Ted to take her seriously and not continue taking her for granted. At June's farewell party, it is revealed the couple have reconciled.
In World War II, when the Japanese invaded China, Suyuan Woo escaped the invasion with her twin baby daughters. When Suyuan became ill during her quest for refuge, her cart breaks down, causing the babies to fall. Near death, Suyuan was unable to carry the babies herself and abandoned them along with all of her other possessions, including a photo of herself. Suyuan survived, but was haunted by guilt in the loss of her daughters and never knew what happened to them.
After she remarried in America, Suyuan has high hopes for her new daughter June, but June constantly fails to meet her expectations out of a lack of interest. She performs badly during a piano recital at age nine (Melanie Chang), and when Suyuan pushes her to continue training to be a concert pianist, June refuses, saying that she wishes herself dead like Suyuan's other daughters, an action that offends Suyuan. When June grows into adulthood, at a dinner party a year before Suyuan's passing, Waverly, June's long-time rival whom she is freelancing for, turns down her business ideas, and Suyuan remarks that Waverly and June are not alike, and that style is something one's born with and cannot be taught implying Waverly has style. June feels humiliated, believing her mother had betrayed her for being a failure in her eyes, and Lindo shows sympathy for June. The following day, June berates Suyuan for her remarks and admits she could never live up to her high expectations. June laments that Suyuan has always been disappointed in June because June dropped out of college, is not married, and has an unsuccessful career. However, Suyuan gives her a jade necklace and assures June that she is the one who has the unteachable style and that while Waverly was the best in competitions, June always had the best heart, which made her mother prouder than she would have been otherwise.
Last Easter before the farewell party, June received the news from the Club that the long-lost twins were alive. When June could not understand the twins' letter written in Chinese, Lindo purportedly mistranslated the letter to make June believe that the twins knew about Suyuan's death and their long-lost half-sister June. Back to the present, when the farewell party ends, Lindo confesses that she wrote letters to the twins and then signed Suyuan's name. June begs Lindo to tell them the truth, but Lindo tells her that it is too late because the twin sisters are anticipating their mother, Suyuan, still believing that Suyuan is alive. A short while later, June's father (Chao-Li Chi) retells the war story of Suyuan and her long-lost twin daughters. Then he gives her the swan feather, which came from Suyuan's—the woman's—swan as explained earlier in the prologue, saying that the feather looks worthless but has ""good intentions."" When she arrives in China to meet her sisters, June tells them the truth about Suyuan and embraces them. In finally accepting her Chinese heritage, June is able to make peace with her deceased mother."
